Filename,Account Number,Meter Number,From Date,To Date,Usage,Cost
test11,535633803,M06A213583,2024-02-02,2024-03-04,21.98,112.84
test11,5356338-03,M06A213583,2024-02-04,2024-03-04,10.45,112.84
test10,2843619,95417343,2024-02-01,2024-02-10,657.232,"647,280.93"
test12,16134528,-,2024-06-13,2024-06-14,106.62,158.86
test5,113423700,-,2023-10-11,2023-11-12,639,31.70
test7,8677 0264 22,-,2024-05-08,2024-06-07,8,141.08
test6,416957143135,1087677,2022-12-30,2023-01-30,"1,384.5","20,819.52"
test2,A-9C3093,EC5723,2023-11-08,2024-02-12,18701.0,755.44
test3,10221125,A9128362,2024-02-01,2024-02-29,"20,679.8","7,037.81"
test3,-,-,2024-02-01,2024-02-29,"23,382.6","2,371.31"
test3,-,-,2024-02-01,2024-02-29,"23,382.6","4,666.50"
test1,7851218574918,-,2023-01-23,2023-02-20,"105,319","27,256.52"
test8,082317500072,272DA2,2023-01-31,2023-02-28,"50,100","97,301.24"
test9,9827364,6113200029,2022-05-26,2022-06-29,"2,083,200","139,273.72"
test9,17829615,-,-,-,-,-
